"gwh_id","at_id"
"GUL01G000002","AT3G27310"
"GUL01G000006","AT5G01010"
"GUL01G000008","AT2G38640"
"GUL01G000010","AT2G39840"
"GUL01G000015","AT1G60800"
"GUL01G000018","AT4G34650"
"GUL01G000019","AT3G54200"
"GUL01G000022","AT1G77030"
"GUL01G000025","AT1G20670"
"GUL01G000026","AT1G30050"
"GUL01G000030","AT3G08600"
"GUL01G000031","AT3G08640"
"GUL01G000034","AT2G38600"
"GUL01G000037","AT5G14230"
"GUL01G000044","AT1G40087"
"GUL01G000051","AT2G38600"
"GUL01G000052","AT5G18960"
"GUL01G000055","AT3G08670"
"GUL01G000056","AT5G08380"
"GUL01G000057","AT5G01930"
"GUL01G000058","AT5G01920"
"GUL01G000059","AT1G29630"
"GUL01G000060","AT1G78310"
"GUL01G000062","AT1G17750"
"GUL01G000068","AT1G73080"
"GUL01G000080","AT2G34250"
"GUL01G000084","AT1G53380"
"GUL01G000085","ATMG00810"
"GUL01G000092","ATMG00810"
"GUL01G000099","AT3G08600"
"GUL01G000100","AT3G08640"
"GUL01G000101","AT2G38600"
"GUL01G000109","AT2G38600"
"GUL01G000110","AT3G08670"
"GUL01G000111","AT5G08380"
"GUL01G000112","AT5G01930"
"GUL01G000113","AT5G01920"
"GUL01G000114","AT1G29630"
"GUL01G000115","AT1G78310"
"GUL01G000118","AT1G17750"
"GUL01G000119","AT1G17750"
"GUL01G000123","AT2G09990"
"GUL01G000126","AT2G34250"
"GUL01G000130","AT1G53380"
"GUL01G000137","AT4G20520"
"GUL01G000140","AT2G32590"
"GUL01G000144","AT1G78770"
"GUL01G000147","AT3G14920"
"GUL01G000149","AT1G53330"
"GUL01G000154","AT3G14910"
"GUL01G000155","AT3G53380"
"GUL01G000156","AT4G09680"
"GUL01G000162","AT3G14890"
"GUL01G000169","AT2G37360"
"GUL01G000170","AT1G78810"
"GUL01G000177","AT2G47140"
"GUL01G000178","AT2G47140"
"GUL01G000179","AT2G47140"
"GUL01G000186","AT2G42610"
"GUL01G000191","AT2G25220"
"GUL01G000192","AT5G62950"
"GUL01G000193","AT1G70420"
"GUL01G000194","ATMG00860"
"GUL01G000199","AT3G14940"
"GUL01G000200","AT1G16890"
"GUL01G000201","AT3G05500"
"GUL01G000205","AT4G21720"
"GUL01G000207","AT1G16670"
"GUL01G000208","AT1G01280"
"GUL01G000209","AT1G53250"
"GUL01G000211","AT3G42170"
"GUL01G000219","AT1G29520"
"GUL01G000220","AT2G26430"
"GUL01G000221","AT4G18100"
"GUL01G000222","AT3G15010"
"GUL01G000224","AT5G01090"
"GUL01G000225","AT1G13570"
"GUL01G000228","AT2G31130"
"GUL01G000229","AT1G73140"
"GUL01G000234","AT1G53240"
"GUL01G000244","AT5G46070"
"GUL01G000246","AT3G03120"
"GUL01G000255","AT3G15180"
"GUL01G000259","AT1G53230"
"GUL01G000261","AT1G53230"
"GUL01G000270","AT5G53970"
"GUL01G000275","AT2G15730"
"GUL01G000276","AT3G04400"
"GUL01G000279","AT3G30200"
"GUL01G000289","ATMG01190"
"GUL01G000293","ATMG00830"
"GUL01G000294","ATMG00960"
"GUL01G000298","ATMG01410"
"GUL01G000300","AT5G56110"
"GUL01G000306","AT2G07785"
"GUL01G000315","ATMG00270"
"GUL01G000326","AT2G07689"
"GUL01G000330","ATMG00900"
"GUL01G000332","ATMG00730"
"GUL01G000334","ATMG00160"
"GUL01G000339","ATMG00180"
"GUL01G000341","ATMG00180"
"GUL01G000346","ATMG01190"
"GUL01G000350","ATMG00830"
"GUL01G000354","ATMG01410"
"GUL01G000356","AT5G56110"
"GUL01G000362","AT2G07674"
"GUL01G000369","AT2G07725"
"GUL01G000375","ATMG00510"
"GUL01G000377","ATMG00510"
"GUL01G000378","AT2G07641"
"GUL01G000379","ATMG00510"
"GUL01G000387","ATMG00520"
"GUL01G000388","ATMG00520"
"GUL01G000402","AT2G07674"
"GUL01G000404","AT5G06043"
"GUL01G000413","ATMG01360"
"GUL01G000414","ATMG01120"
"GUL01G000416","ATMG01120"
"GUL01G000418","ATMG00090"
